People_from_Torredelcampo,People_from_the_Province_of_Ja̩n_(Spain),1
Crimean_War_films,Films_set_in_Russia,1
Populated_places_in_Texas_with_African_American_majority_populations,Populated_places_in_the_United_States_with_African_American_majority_populations,0
Lighthouses_in_Madeira,Lighthouses_in_Portugal,1
Argentine_broadcasting,Argentine_media,0
1991_Rugby_World_Cup,Rugby_World_Cup_tournaments,1
Astro_Awani,24-hour_television_news_channels,0
British_company_founders,British_businesspeople,1
557,Years,1
"High_schools_in_Medina_County,_Ohio","Education_in_Medina_County,_Ohio",1
Vocal_duet_albums,Vocal_duets,1
Doctor_Who_computer_games,Science_fiction_video_games,0
Iowa_Central_Community_College_alumni,Alumni_by_university_or_college_in_Iowa,1
1997_in_Bolivia,1997_in_South_America,1
The_Blackeyed_Susans_songs,Australian_rock_songs,1
Talukas_of_Gujarat,Tehsils_of_India,1
Phonaesthetics,Semantics,1
Populated_places_in_Delaware_with_African_American_majority_populations,Populated_places_in_Delaware,0
Law_enforcement_agencies_of_Poland,Law_enforcement_agencies_by_country,1
Proposed_roads_in_Singapore,Roads_in_Singapore,1
Sport_Club_Ulbra,Wikipedia_categories_named_after_football_clubs_in_Brazil,0
Barons_Ferrers_of_Chartley,Barons_in_the_Peerage_of_England,1
Tamil_films_of_1944,1944_films,0
Koderma_district,Districts_of_Jharkhand,1
1811_in_the_United_States,1811_in_North_America,1
Medical_administrators,People_in_health_professions,1
Law_firms_of_Luxembourg,Law_firms_by_country,0
National_Basketball_Association_All-Star_Game,All-star_games,1
Illegal_drug_trade_in_the_United_Kingdom,Illegal_drug_trade_by_country,1
Tondanichthys,Hemiramphidae,0
2002_floods,2002_natural_disasters,1
Colombian_space_program,Space_programs,0
Kihelkonna_Parish,Municipalities_of_Estonia,1
Former_bunraku_theatres,Former_theatres_of_Japan,0
Law_firms_established_in_1993,Companies_established_in_1993,1
Smith_&_Wesson_firearms,Smith_&_Wesson,1
Italian_British_actors,British_actors,0
Corus_Group,Companies_established_in_1999,0
Fungi_described_in_1948,Fungi_described_in_the_20th_century,1
Districts_of_Khost_Province,Districts_of_Afghanistan,1
Carbines,Rifles,1
Canadian_film_studios,Film_studios,1
Populated_places_in_Moravica_District,Moravica_District,1
British_pies,British_cuisine,1
"People_from_Morgan_County,_Ohio","Morgan_County,_Ohio",1
Publishing_companies_established_in_1980,Companies_established_in_1980,1
